adm1,adm2,year,malaria_incidence_per_1000_corrected,population_new
Upper River,Basse,2025,7.3487592420750145,66814
Upper River,Jimara,2025,14.119517061787683,59138
Upper River,Kantora,2025,14.19839429764893,52189
Upper River,Sandu,2025,16.463206287081043,32193
Upper River,Tumana,2025,5.649159539376223,50627
Upper River,Wuli East,2025,13.912664570948365,32129
Upper River,Wuli West,2025,8.08108017104953,29699
Western 1,Banjul,2025,59.740936499665004,26866
Western 1,Kanifing,2025,29.388429607160703,456268
Western 1,Kombo North,2025,23.688827345475698,660058
Western 2,Foni Bintang Karanai,2025,15.828202432797717,33295
Western 2,Foni Bondali,2025,12.687427912341407,14739
Western 2,Foni Brefet,2025,22.374849536217518,28246
Western 2,Foni Jarrol,2025,19.04833046985882,13387
Western 2,Foni Kansala,2025,19.474373907979032,27472
Western 2,Kombo Central,2025,20.947771935493346,272344
Western 2,Kombo East,2025,28.58079875619473,82328
Western 2,Kombo South,2025,40.17758260383864,207678
