adm1,adm2,year,total_pop
Western 2,Foni Bintang Karanai,2022,28194
Western 2,Foni Bintang Karanai,2023,29801
Western 2,Foni Bintang Karanai,2024,31499
Western 2,Foni Bintang Karanai,2025,33295
Western 2,Foni Bondali,2017,9459
Western 2,Foni Bondali,2018,9998
Western 2,Foni Bondali,2019,10568
Western 2,Foni Bondali,2020,11171
Western 2,Foni Bondali,2021,11807
Western 2,Foni Bondali,2022,12480
Western 2,Foni Bondali,2023,13192
Western 2,Foni Bondali,2024,13944
Western 2,Foni Bondali,2025,14739
Western 2,Foni Brefet,2017,18128
Western 2,Foni Brefet,2018,19162
Western 2,Foni Brefet,2019,20254
Western 2,Foni Brefet,2020,21408
Western 2,Foni Brefet,2021,22629
Western 2,Foni Brefet,2022,23918
Western 2,Foni Brefet,2023,25282
Western 2,Foni Brefet,2024,26723
Western 2,Foni Brefet,2025,28246
Western 2,Foni Jarrol,2017,8592
Western 2,Foni Jarrol,2018,9081
Western 2,Foni Jarrol,2019,9599
Western 2,Foni Jarrol,2020,10146
Western 2,Foni Jarrol,2021,10725
Western 2,Foni Jarrol,2022,11336
Western 2,Foni Jarrol,2023,11982
Western 2,Foni Jarrol,2024,12665
Western 2,Foni Jarrol,2025,13387
Western 2,Foni Kansala,2017,17631
Western 2,Foni Kansala,2018,18636
Western 2,Foni Kansala,2019,19699
Western 2,Foni Kansala,2020,20822
Western 2,Foni Kansala,2021,22008
Western 2,Foni Kansala,2022,23263
Western 2,Foni Kansala,2023,24589
Western 2,Foni Kansala,2024,25990
Western 2,Foni Kansala,2025,27472
Western 2,Kombo Central,2017,174791
Western 2,Kombo Central,2018,184754
Western 2,Kombo Central,2019,195285
Western 2,Kombo Central,2020,206416
Western 2,Kombo Central,2021,218181
Western 2,Kombo Central,2022,230618
Western 2,Kombo Central,2023,243763
Western 2,Kombo Central,2024,257658
Western 2,Kombo Central,2025,272344
Western 2,Kombo East,2017,52838
Western 2,Kombo East,2018,55850
Western 2,Kombo East,2019,59033
Western 2,Kombo East,2020,62398
Western 2,Kombo East,2021,65955
Western 2,Kombo East,2022,69715
Western 2,Kombo East,2023,73688
Western 2,Kombo East,2024,77888
Western 2,Kombo East,2025,82328
Western 2,Kombo South,2017,133288
Western 2,Kombo South,2018,140885
Western 2,Kombo South,2019,148915
Western 2,Kombo South,2020,157404
Western 2,Kombo South,2021,166376
Western 2,Kombo South,2022,175859
Western 2,Kombo South,2023,185883
Western 2,Kombo South,2024,196478
Western 2,Kombo South,2025,207678
